fecha_id,fecha,año,trimestre,mes,nombre_mes,dia,nombre_dia_semana,numero_dia_semana,es_fin_semana,es_feriado,evento_comercial,semana_año
1,2024-01-01,2024,1,1,Enero,1,Lunes,1,False,True,Normal,1
2,2024-01-02,2024,1,1,Enero,2,Martes,2,False,False,Normal,1
3,2024-01-03,2024,1,1,Enero,3,Miércoles,3,False,False,Normal,1
4,2024-01-04,2024,1,1,Enero,4,Jueves,4,False,False,Normal,1
5,2024-01-05,2024,1,1,Enero,5,Viernes,5,False,False,Normal,1
6,2024-01-06,2024,1,1,Enero,6,Sábado,6,True,False,Normal,1
7,2024-01-07,2024,1,1,Enero,7,Domingo,7,True,False,Normal,1
8,2024-01-08,2024,1,1,Enero,8,Lunes,1,False,False,Normal,2
9,2024-01-09,2024,1,1,Enero,9,Martes,2,False,False,Normal,2
10,2024-01-10,2024,1,1,Enero,10,Miércoles,3,False,False,Normal,2
11,2024-01-11,2024,1,1,Enero,11,Jueves,4,False,False,Normal,2
12,2024-01-12,2024,1,1,Enero,12,Viernes,5,False,False,Normal,2
13,2024-01-13,2024,1,1,Enero,13,Sábado,6,True,False,Normal,2
14,2024-01-14,2024,1,1,Enero,14,Domingo,7,True,False,Normal,2
15,2024-01-15,2024,1,1,Enero,15,Lunes,1,False,False,Normal,3
16,2024-01-16,2024,1,1,Enero,16,Martes,2,False,False,Normal,3
17,2024-01-17,2024,1,1,Enero,17,Miércoles,3,False,False,Normal,3
18,2024-01-18,2024,1,1,Enero,18,Jueves,4,False,False,Normal,3
19,2024-01-19,2024,1,1,Enero,19,Viernes,5,False,False,Normal,3
20,2024-01-20,2024,1,1,Enero,20,Sábado,6,True,False,Normal,3
21,2024-01-21,2024,1,1,Enero,21,Domingo,7,True,False,Normal,3
22,2024-01-22,2024,1,1,Enero,22,Lunes,1,False,False,Normal,4
23,2024-01-23,2024,1,1,Enero,23,Martes,2,False,False,Normal,4
24,2024-01-24,2024,1,1,Enero,24,Miércoles,3,False,False,Normal,4
25,2024-01-25,2024,1,1,Enero,25,Jueves,4,False,False,Normal,4
26,2024-01-26,2024,1,1,Enero,26,Viernes,5,False,False,Normal,4
27,2024-01-27,2024,1,1,Enero,27,Sábado,6,True,False,Normal,4
28,2024-01-28,2024,1,1,Enero,28,Domingo,7,True,False,Normal,4
29,2024-01-29,2024,1,1,Enero,29,Lunes,1,False,False,Normal,5
30,2024-01-30,2024,1,1,Enero,30,Martes,2,False,False,Normal,5
31,2024-01-31,2024,1,1,Enero,31,Miércoles,3,False,False,Normal,5
32,2024-02-01,2024,1,2,Febrero,1,Jueves,4,False,False,Normal,5
33,2024-02-02,2024,1,2,Febrero,2,Viernes,5,False,False,Normal,5
34,2024-02-03,2024,1,2,Febrero,3,Sábado,6,True,False,Normal,5
35,2024-02-04,2024,1,2,Febrero,4,Domingo,7,True,False,Normal,5
36,2024-02-05,2024,1,2,Febrero,5,Lunes,1,False,False,Normal,6
37,2024-02-06,2024,1,2,Febrero,6,Martes,2,False,False,Normal,6
38,2024-02-07,2024,1,2,Febrero,7,Miércoles,3,False,False,Normal,6
39,2024-02-08,2024,1,2,Febrero,8,Jueves,4,False,False,Normal,6
40,2024-02-09,2024,1,2,Febrero,9,Viernes,5,False,False,Normal,6
41,2024-02-10,2024,1,2,Febrero,10,Sábado,6,True,False,Normal,6
42,2024-02-11,2024,1,2,Febrero,11,Domingo,7,True,False,Normal,6
43,2024-02-12,2024,1,2,Febrero,12,Lunes,1,False,False,Normal,7
44,2024-02-13,2024,1,2,Febrero,13,Martes,2,False,False,Normal,7
45,2024-02-14,2024,1,2,Febrero,14,Miércoles,3,False,False,Normal,7
46,2024-02-15,2024,1,2,Febrero,15,Jueves,4,False,False,Normal,7
47,2024-02-16,2024,1,2,Febrero,16,Viernes,5,False,False,Normal,7
48,2024-02-17,2024,1,2,Febrero,17,Sábado,6,True,False,Normal,7
49,2024-02-18,2024,1,2,Febrero,18,Domingo,7,True,False,Normal,7
50,2024-02-19,2024,1,2,Febrero,19,Lunes,1,False,False,Normal,8
51,2024-02-20,2024,1,2,Febrero,20,Martes,2,False,False,Normal,8
52,2024-02-21,2024,1,2,Febrero,21,Miércoles,3,False,False,Normal,8
53,2024-02-22,2024,1,2,Febrero,22,Jueves,4,False,False,Normal,8
54,2024-02-23,2024,1,2,Febrero,23,Viernes,5,False,False,Normal,8
55,2024-02-24,2024,1,2,Febrero,24,Sábado,6,True,False,Normal,8
56,2024-02-25,2024,1,2,Febrero,25,Domingo,7,True,False,Normal,8
57,2024-02-26,2024,1,2,Febrero,26,Lunes,1,False,False,Normal,9
58,2024-02-27,2024,1,2,Febrero,27,Martes,2,False,False,Normal,9
59,2024-02-28,2024,1,2,Febrero,28,Miércoles,3,False,False,Normal,9
60,2024-02-29,2024,1,2,Febrero,29,Jueves,4,False,False,Normal,9
61,2024-03-01,2024,1,3,Marzo,1,Viernes,5,False,False,Vuelta al Cole,9
62,2024-03-02,2024,1,3,Marzo,2,Sábado,6,True,False,Vuelta al Cole,9
63,2024-03-03,2024,1,3,Marzo,3,Domingo,7,True,False,Vuelta al Cole,9
64,2024-03-04,2024,1,3,Marzo,4,Lunes,1,False,False,Vuelta al Cole,10
65,2024-03-05,2024,1,3,Marzo,5,Martes,2,False,False,Vuelta al Cole,10
66,2024-03-06,2024,1,3,Marzo,6,Miércoles,3,False,False,Vuelta al Cole,10
67,2024-03-07,2024,1,3,Marzo,7,Jueves,4,False,False,Vuelta al Cole,10
68,2024-03-08,2024,1,3,Marzo,8,Viernes,5,False,False,Vuelta al Cole,10
69,2024-03-09,2024,1,3,Marzo,9,Sábado,6,True,False,Vuelta al Cole,10
70,2024-03-10,2024,1,3,Marzo,10,Domingo,7,True,False,Vuelta al Cole,10
71,2024-03-11,2024,1,3,Marzo,11,Lunes,1,False,False,Vuelta al Cole,11
72,2024-03-12,2024,1,3,Marzo,12,Martes,2,False,False,Vuelta al Cole,11
73,2024-03-13,2024,1,3,Marzo,13,Miércoles,3,False,False,Vuelta al Cole,11
74,2024-03-14,2024,1,3,Marzo,14,Jueves,4,False,False,Vuelta al Cole,11
75,2024-03-15,2024,1,3,Marzo,15,Viernes,5,False,False,Vuelta al Cole,11
76,2024-03-16,2024,1,3,Marzo,16,Sábado,6,True,False,Normal,11
77,2024-03-17,2024,1,3,Marzo,17,Domingo,7,True,False,Normal,11
78,2024-03-18,2024,1,3,Marzo,18,Lunes,1,False,False,Normal,12
79,2024-03-19,2024,1,3,Marzo,19,Martes,2,False,False,Normal,12
80,2024-03-20,2024,1,3,Marzo,20,Miércoles,3,False,False,Normal,12
81,2024-03-21,2024,1,3,Marzo,21,Jueves,4,False,False,Normal,12
82,2024-03-22,2024,1,3,Marzo,22,Viernes,5,False,False,Normal,12
83,2024-03-23,2024,1,3,Marzo,23,Sábado,6,True,False,Normal,12
84,2024-03-24,2024,1,3,Marzo,24,Domingo,7,True,False,Normal,12
85,2024-03-25,2024,1,3,Marzo,25,Lunes,1,False,False,Normal,13
86,2024-03-26,2024,1,3,Marzo,26,Martes,2,False,False,Normal,13
87,2024-03-27,2024,1,3,Marzo,27,Miércoles,3,False,False,Normal,13
88,2024-03-28,2024,1,3,Marzo,28,Jueves,4,False,False,Normal,13
89,2024-03-29,2024,1,3,Marzo,29,Viernes,5,False,True,Normal,13
90,2024-03-30,2024,1,3,Marzo,30,Sábado,6,True,True,Normal,13
91,2024-03-31,2024,1,3,Marzo,31,Domingo,7,True,False,Normal,13
92,2024-04-01,2024,2,4,Abril,1,Lunes,1,False,True,Normal,14
93,2024-04-02,2024,2,4,Abril,2,Martes,2,False,False,Normal,14
94,2024-04-03,2024,2,4,Abril,3,Miércoles,3,False,False,Normal,14
95,2024-04-04,2024,2,4,Abril,4,Jueves,4,False,False,Normal,14
96,2024-04-05,2024,2,4,Abril,5,Viernes,5,False,False,Normal,14
97,2024-04-06,2024,2,4,Abril,6,Sábado,6,True,False,Normal,14
98,2024-04-07,2024,2,4,Abril,7,Domingo,7,True,False,Normal,14
99,2024-04-08,2024,2,4,Abril,8,Lunes,1,False,False,Normal,15
100,2024-04-09,2024,2,4,Abril,9,Martes,2,False,False,Normal,15
101,2024-04-10,2024,2,4,Abril,10,Miércoles,3,False,False,Normal,15
102,2024-04-11,2024,2,4,Abril,11,Jueves,4,False,False,Normal,15
103,2024-04-12,2024,2,4,Abril,12,Viernes,5,False,False,Normal,15
104,2024-04-13,2024,2,4,Abril,13,Sábado,6,True,False,Normal,15
105,2024-04-14,2024,2,4,Abril,14,Domingo,7,True,False,Normal,15
106,2024-04-15,2024,2,4,Abril,15,Lunes,1,False,False,Normal,16
107,2024-04-16,2024,2,4,Abril,16,Martes,2,False,False,Normal,16
108,2024-04-17,2024,2,4,Abril,17,Miércoles,3,False,False,Normal,16
109,2024-04-18,2024,2,4,Abril,18,Jueves,4,False,False,Normal,16
110,2024-04-19,2024,2,4,Abril,19,Viernes,5,False,False,Normal,16
111,2024-04-20,2024,2,4,Abril,20,Sábado,6,True,False,Normal,16
112,2024-04-21,2024,2,4,Abril,21,Domingo,7,True,False,Normal,16
113,2024-04-22,2024,2,4,Abril,22,Lunes,1,False,False,Normal,17
114,2024-04-23,2024,2,4,Abril,23,Martes,2,False,False,Normal,17
115,2024-04-24,2024,2,4,Abril,24,Miércoles,3,False,False,Normal,17
116,2024-04-25,2024,2,4,Abril,25,Jueves,4,False,False,Normal,17
117,2024-04-26,2024,2,4,Abril,26,Viernes,5,False,False,Normal,17
118,2024-04-27,2024,2,4,Abril,27,Sábado,6,True,False,Normal,17
119,2024-04-28,2024,2,4,Abril,28,Domingo,7,True,False,Normal,17
120,2024-04-29,2024,2,4,Abril,29,Lunes,1,False,False,Normal,18
121,2024-04-30,2024,2,4,Abril,30,Martes,2,False,False,Normal,18
122,2024-05-01,2024,2,5,Mayo,1,Miércoles,3,False,True,Normal,18
123,2024-05-02,2024,2,5,Mayo,2,Jueves,4,False,False,Normal,18
124,2024-05-03,2024,2,5,Mayo,3,Viernes,5,False,False,Normal,18
125,2024-05-04,2024,2,5,Mayo,4,Sábado,6,True,False,Normal,18
126,2024-05-05,2024,2,5,Mayo,5,Domingo,7,True,False,Normal,18
127,2024-05-06,2024,2,5,Mayo,6,Lunes,1,False,False,Normal,19
128,2024-05-07,2024,2,5,Mayo,7,Martes,2,False,False,Normal,19
129,2024-05-08,2024,2,5,Mayo,8,Miércoles,3,False,False,Normal,19
130,2024-05-09,2024,2,5,Mayo,9,Jueves,4,False,False,Día de la Madre,19
131,2024-05-10,2024,2,5,Mayo,10,Viernes,5,False,False,Día de la Madre,19
