fecha_id,fecha,uf,dolar,euro,ipc_mensual,utm,tasa_desempleo,imacec
1,2024-01-01,36797.64,877.12,970.05,0.7,64666,8.44,2.5
2,2024-01-02,36805.92,877.12,970.05,0.7,64666,8.44,2.5
3,2024-01-03,36814.21,880.92,964.76,0.7,64666,8.44,2.5
4,2024-01-04,36822.49,884.39,964.65,0.7,64666,8.44,2.5
5,2024-01-05,36830.78,884.45,968.52,0.7,64666,8.44,2.5
6,2024-01-06,36839.07,884.45,968.52,0.7,64666,8.44,2.5
7,2024-01-07,36847.36,884.45,968.52,0.7,64666,8.44,2.5
8,2024-01-08,36855.65,893.07,977.74,0.7,64666,8.44,2.5
9,2024-01-09,36863.94,901.31,988.6,0.7,64666,8.44,2.5
10,2024-01-10,36857.98,914.71,1000.23,0.7,64666,8.44,2.5
11,2024-01-11,36852.02,919.07,1007.75,0.7,64666,8.44,2.5
12,2024-01-12,36846.06,911.37,997.56,0.7,64666,8.44,2.5
13,2024-01-13,36840.1,911.37,997.56,0.7,64666,8.44,2.5
14,2024-01-14,36834.15,911.37,997.56,0.7,64666,8.44,2.5
15,2024-01-15,36828.19,908.67,995.15,0.7,64666,8.44,2.5
16,2024-01-16,36822.24,912.02,998.6,0.7,64666,8.44,2.5
17,2024-01-17,36816.29,922.06,1002.24,0.7,64666,8.44,2.5
18,2024-01-18,36810.33,926.77,1006.81,0.7,64666,8.44,2.5
19,2024-01-19,36804.38,918.62,997.42,0.7,64666,8.44,2.5
20,2024-01-20,36798.43,918.62,997.42,0.7,64666,8.44,2.5
21,2024-01-21,36792.48,918.62,997.42,0.7,64666,8.44,2.5
22,2024-01-22,36786.53,910.73,991.54,0.7,64666,8.44,2.5
23,2024-01-23,36780.58,905.63,986.74,0.7,64666,8.44,2.5
24,2024-01-24,36774.64,908.87,984.26,0.7,64666,8.44,2.5
25,2024-01-25,36768.69,908.51,990.42,0.7,64666,8.44,2.5
26,2024-01-26,36762.75,910.97,987.29,0.7,64666,8.44,2.5
27,2024-01-27,36756.8,910.97,987.29,0.7,64666,8.44,2.5
28,2024-01-28,36750.86,910.97,987.29,0.7,64666,8.44,2.5
29,2024-01-29,36744.92,916.16,995.18,0.7,64666,8.44,2.5
30,2024-01-30,36738.98,927.63,1002.95,0.7,64666,8.44,2.5
31,2024-01-31,36733.04,932.66,1011.12,0.7,64666,8.44,2.5
32,2024-02-01,36727.1,932.26,1011.35,0.6,64343,8.5,4.5
33,2024-02-02,36721.16,936.01,1017.18,0.6,64343,8.5,4.5
34,2024-02-03,36715.22,936.01,1017.18,0.6,64343,8.5,4.5
35,2024-02-04,36709.29,936.01,1017.18,0.6,64343,8.5,4.5
36,2024-02-05,36703.35,943.84,1018.06,0.6,64343,8.5,4.5
37,2024-02-06,36697.42,955.73,1026.34,0.6,64343,8.5,4.5
38,2024-02-07,36691.48,949.81,1021.08,0.6,64343,8.5,4.5
39,2024-02-08,36685.55,947.9,1020.23,0.6,64343,8.5,4.5
40,2024-02-09,36679.62,957.86,1031.95,0.6,64343,8.5,4.5
41,2024-02-10,36688.44,957.86,1031.95,0.6,64343,8.5,4.5
42,2024-02-11,36697.27,957.86,1031.95,0.6,64343,8.5,4.5
43,2024-02-12,36706.1,968.73,1044.57,0.6,64343,8.5,4.5
44,2024-02-13,36714.93,972.22,1047.76,0.6,64343,8.5,4.5
45,2024-02-14,36723.76,971.56,1041.22,0.6,64343,8.5,4.5
46,2024-02-15,36732.6,959.86,1030.0,0.6,64343,8.5,4.5
47,2024-02-16,36741.43,961.94,1035.01,0.6,64343,8.5,4.5
48,2024-02-17,36750.27,961.94,1035.01,0.6,64343,8.5,4.5
49,2024-02-18,36759.11,961.94,1035.01,0.6,64343,8.5,4.5
50,2024-02-19,36767.95,969.04,1043.55,0.6,64343,8.5,4.5
51,2024-02-20,36776.8,966.23,1040.97,0.6,64343,8.5,4.5
52,2024-02-21,36785.65,963.68,1041.82,0.6,64343,8.5,4.5
53,2024-02-22,36794.5,967.52,1045.97,0.6,64343,8.5,4.5
54,2024-02-23,36803.35,972.77,1052.44,0.6,64343,8.5,4.5
55,2024-02-24,36812.2,972.77,1052.44,0.6,64343,8.5,4.5
56,2024-02-25,36821.06,972.77,1052.44,0.6,64343,8.5,4.5
57,2024-02-26,36829.92,983.76,1064.91,0.6,64343,8.5,4.5
58,2024-02-27,36838.78,986.85,1070.57,0.6,64343,8.5,4.5
59,2024-02-28,36847.64,984.53,1068.4,0.6,64343,8.5,4.5
60,2024-02-29,36856.5,980.19,1062.54,0.6,64343,8.5,4.5
